user_id,city,order_date,order_value_inr,complaint_type,refund_requested,refund_ttr_hours,delivered_ok,repeat_order_30d
117,Pune,2026-06-12,196.9,false_delivered_status,True,22.4,False,False
118,Bengaluru,2026-06-23,750.57,refund_delay_only,True,17.3,True,False
120,Bengaluru,2026-05-19,369.35,none,False,,True,True
122,Mumbai,2026-06-14,219.02,none,False,,True,False
123,Bengaluru,2026-06-17,65.94,none,False,,True,True
124,Kolkata,2026-05-14,191.86,refund_delay_only,True,15.8,True,False
126,Hyderabad,2026-06-14,237.56,missing_or_wrong_item,True,15.2,False,False
128,Kolkata,2026-06-13,407.78,none,False,,True,True
130,Delhi,2026-06-13,266.21,none,False,,True,True
132,Pune,2026-05-06,211.58,address_triggered_cancellation,True,44.3,False,False
139,Pune,2026-06-12,614.84,missing_or_wrong_item,True,2.5,False,False
140,Mumbai,2026-05-13,255.1,address_triggered_cancellation,True,19.3,False,False
141,Kolkata,2026-06-24,381.13,none,False,,True,False
146,Mumbai,2026-05-04,721.47,address_triggered_cancellation,True,15.2,False,False
147,Bengaluru,2026-06-07,618.55,none,False,,True,True
148,Mumbai,2026-05-14,63.71,missing_or_wrong_item,True,8.8,False,False
149,Bengaluru,2026-05-08,178.01,none,False,,True,False
152,Pune,2026-06-28,188.14,none,False,,True,True
153,Hyderabad,2026-06-25,278.09,none,False,,True,False
154,Bengaluru,2026-05-31,707.95,missing_or_wrong_item,True,16.9,False,False
155,Kolkata,2026-05-10,300.98,missing_or_wrong_item,True,23.6,False,False
156,Mumbai,2026-05-13,527.26,refund_delay_only,True,24.2,True,False
161,Delhi,2026-06-23,538.96,none,False,,True,True
162,Hyderabad,2026-06-26,160.29,address_triggered_cancellation,True,30.8,False,False
168,Delhi,2026-05-07,400.04,none,False,,True,False
169,Kolkata,2026-05-29,377.61,address_triggered_cancellation,True,45.3,False,False
170,Bengaluru,2026-06-16,466.28,none,False,,True,False
171,Hyderabad,2026-05-01,738.36,refund_delay_only,True,8.1,True,True
173,Pune,2026-05-08,72.09,none,False,,True,False
174,Kolkata,2026-06-26,267.0,address_triggered_cancellation,True,40.2,False,False
176,Pune,2026-06-23,461.16,none,False,,True,True
181,Hyderabad,2026-05-24,372.72,none,False,,True,True
185,Pune,2026-05-11,184.75,missing_or_wrong_item,True,0.6,False,False
187,Kolkata,2026-05-21,52.0,none,False,,True,False
189,Kolkata,2026-06-27,422.46,address_triggered_cancellation,True,20.3,False,False
192,Kolkata,2026-05-05,772.81,none,False,,True,True
193,Delhi,2026-06-28,178.08,missing_or_wrong_item,True,21.1,False,False
195,Bengaluru,2026-05-03,83.71,false_delivered_status,True,40.4,False,False
203,Pune,2026-05-18,469.12,none,False,,True,False
208,Bengaluru,2026-06-24,1041.43,none,False,,True,True
210,Delhi,2026-05-10,181.64,none,False,,True,False
222,Hyderabad,2026-05-14,760.07,none,False,,True,True
225,Mumbai,2026-05-18,190.48,none,False,,True,True
230,Bengaluru,2026-05-31,455.67,address_triggered_cancellation,True,43.5,False,False
231,Hyderabad,2026-05-02,370.31,false_delivered_status,True,68.8,False,False
232,Delhi,2026-06-10,362.09,none,False,,True,True
233,Kolkata,2026-05-19,222.76,none,False,,True,False
239,Bengaluru,2026-06-02,605.61,false_delivered_status,True,19.3,False,False
245,Bengaluru,2026-05-20,489.17,address_triggered_cancellation,True,20.1,False,False
247,Hyderabad,2026-05-16,206.87,none,False,,True,False
248,Bengaluru,2026-06-15,222.61,none,False,,True,True
250,Kolkata,2026-06-13,381.85,address_triggered_cancellation,True,19.9,False,False
251,Pune,2026-06-22,152.69,address_triggered_cancellation,True,65.0,False,True
252,Kolkata,2026-05-18,237.29,none,False,,True,True
256,Pune,2026-06-21,445.99,none,False,,True,True
257,Mumbai,2026-06-11,470.8,none,False,,True,False
259,Mumbai,2026-05-28,344.44,address_triggered_cancellation,True,14.8,False,False
260,Hyderabad,2026-05-06,155.67,missing_or_wrong_item,True,11.7,False,False
263,Pune,2026-06-24,115.46,none,False,,True,False
264,Pune,2026-06-01,215.73,missing_or_wrong_item,True,9.1,False,False
265,Kolkata,2026-05-15,391.84,missing_or_wrong_item,True,17.9,False,False
266,Hyderabad,2026-06-06,174.75,missing_or_wrong_item,True,9.0,False,False
267,Delhi,2026-06-05,210.26,none,False,,True,False
271,Mumbai,2026-06-24,158.83,none,False,,True,False
273,Delhi,2026-06-28,378.27,none,False,,True,True
275,Kolkata,2026-05-14,400.32,none,False,,True,True
276,Bengaluru,2026-05-12,77.85,none,False,,True,True
278,Hyderabad,2026-06-16,530.06,none,False,,True,False
280,Pune,2026-06-22,113.91,none,False,,True,True
282,Bengaluru,2026-06-19,384.82,none,False,,True,False
293,Bengaluru,2026-06-14,717.13,none,False,,True,True
295,Delhi,2026-06-02,160.37,none,False,,True,False
298,Delhi,2026-05-12,140.52,missing_or_wrong_item,True,27.1,False,False
302,Pune,2026-05-13,445.09,address_triggered_cancellation,True,50.9,False,False
303,Bengaluru,2026-05-29,338.76,none,False,,True,True
307,Kolkata,2026-05-07,485.71,none,False,,True,True
308,Kolkata,2026-06-23,246.2,none,False,,True,False
310,Mumbai,2026-05-27,103.48,address_triggered_cancellation,True,103.3,False,False
311,Mumbai,2026-05-19,273.57,none,False,,True,False
313,Hyderabad,2026-05-07,322.76,none,False,,True,True
317,Hyderabad,2026-06-09,686.61,none,False,,True,True
318,Hyderabad,2026-05-13,364.95,address_triggered_cancellation,True,28.6,False,False
319,Kolkata,2026-05-08,417.49,none,False,,True,True
321,Hyderabad,2026-05-08,373.31,none,False,,True,True
325,Hyderabad,2026-05-01,456.26,none,False,,True,False
328,Delhi,2026-05-01,132.12,none,False,,True,True
332,Kolkata,2026-05-03,481.47,none,False,,True,True
336,Bengaluru,2026-06-04,246.75,address_triggered_cancellation,True,27.8,False,False
341,Mumbai,2026-05-11,233.12,false_delivered_status,True,72.1,False,True
343,Delhi,2026-05-04,234.89,missing_or_wrong_item,True,18.9,False,False
345,Kolkata,2026-06-04,147.94,none,False,,True,False
346,Kolkata,2026-06-24,371.36,none,False,,True,False
349,Bengaluru,2026-06-18,469.06,false_delivered_status,True,62.0,False,False
353,Pune,2026-06-02,220.86,none,False,,True,True
358,Mumbai,2026-05-31,483.83,refund_delay_only,True,17.4,True,False
367,Kolkata,2026-05-20,348.69,address_triggered_cancellation,True,41.2,False,False
368,Kolkata,2026-06-24,490.74,false_delivered_status,True,36.9,False,False
369,Kolkata,2026-05-08,192.95,missing_or_wrong_item,True,20.4,False,False
370,Kolkata,2026-06-12,570.26,none,False,,True,True
374,Delhi,2026-06-06,283.16,refund_delay_only,True,15.7,True,True
375,Delhi,2026-05-04,516.44,none,False,,True,True
382,Pune,2026-05-10,337.0,none,False,,True,False
383,Hyderabad,2026-05-29,282.05,none,False,,True,True
385,Hyderabad,2026-05-19,544.66,none,False,,True,False
386,Kolkata,2026-06-22,204.39,none,False,,True,True
388,Delhi,2026-06-29,165.1,none,False,,True,False
389,Kolkata,2026-06-16,323.64,none,False,,True,True
391,Pune,2026-05-06,181.95,refund_delay_only,True,16.0,True,True
392,Bengaluru,2026-05-05,189.11,none,False,,True,False
396,Hyderabad,2026-05-21,337.6,refund_delay_only,True,54.6,True,False
397,Hyderabad,2026-05-14,335.06,none,False,,True,False
403,Mumbai,2026-06-06,437.99,none,False,,True,False
414,Mumbai,2026-05-25,319.16,none,False,,True,False
416,Hyderabad,2026-05-10,365.43,none,False,,True,False
418,Hyderabad,2026-05-20,171.79,none,False,,True,True
419,Bengaluru,2026-06-09,406.48,none,False,,True,False
430,Mumbai,2026-06-27,301.52,none,False,,True,True
431,Kolkata,2026-05-15,523.78,none,False,,True,True
433,Bengaluru,2026-05-04,183.02,refund_delay_only,True,47.4,True,False
436,Kolkata,2026-06-28,202.42,missing_or_wrong_item,True,7.5,False,True
437,Pune,2026-05-08,620.01,none,False,,True,True
441,Delhi,2026-06-28,174.25,missing_or_wrong_item,True,33.6,False,False
442,Pune,2026-06-05,1067.75,none,False,,True,False
443,Bengaluru,2026-06-22,698.67,address_triggered_cancellation,True,20.2,False,False
444,Mumbai,2026-06-10,574.93,none,False,,True,True
448,Delhi,2026-06-03,94.64,address_triggered_cancellation,True,31.7,False,False
449,Hyderabad,2026-06-15,133.82,address_triggered_cancellation,True,28.3,False,False
452,Hyderabad,2026-05-02,187.99,none,False,,True,False
454,Bengaluru,2026-06-29,207.02,address_triggered_cancellation,True,57.5,False,False
455,Pune,2026-05-20,525.7,missing_or_wrong_item,True,10.6,False,False
456,Bengaluru,2026-05-20,381.32,none,False,,True,False
458,Pune,2026-06-18,171.52,none,False,,True,False
459,Pune,2026-05-11,253.46,none,False,,True,False
467,Kolkata,2026-05-18,280.72,none,False,,True,True
469,Mumbai,2026-05-17,547.85,refund_delay_only,True,9.3,True,False
474,Bengaluru,2026-06-17,601.52,none,False,,True,True
481,Bengaluru,2026-06-14,472.86,refund_delay_only,True,36.2,True,False
487,Pune,2026-06-03,433.47,none,False,,True,True
488,Pune,2026-06-20,351.71,none,False,,True,False
489,Hyderabad,2026-06-20,516.78,none,False,,True,True
491,Kolkata,2026-06-26,448.19,address_triggered_cancellation,True,64.2,False,False
493,Bengaluru,2026-06-22,300.87,none,False,,True,False
501,Bengaluru,2026-06-07,541.86,none,False,,True,False
506,Mumbai,2026-06-18,530.22,none,False,,True,True
508,Delhi,2026-06-05,541.49,refund_delay_only,True,12.9,True,False
509,Hyderabad,2026-05-30,181.45,none,False,,True,False
517,Delhi,2026-06-24,315.73,none,False,,True,True
518,Mumbai,2026-05-14,200.96,none,False,,True,True
523,Mumbai,2026-05-08,179.36,refund_delay_only,True,7.9,True,False
527,Mumbai,2026-05-23,282.32,none,False,,True,True
528,Pune,2026-05-21,352.25,none,False,,True,True
530,Delhi,2026-06-06,802.72,none,False,,True,True
531,Kolkata,2026-06-04,246.59,none,False,,True,True
536,Hyderabad,2026-06-09,649.05,none,False,,True,True
542,Hyderabad,2026-05-16,264.0,none,False,,True,True
543,Bengaluru,2026-06-16,226.22,missing_or_wrong_item,True,2.5,False,True
544,Delhi,2026-06-24,511.51,none,False,,True,True
547,Delhi,2026-06-25,247.73,none,False,,True,True
551,Hyderabad,2026-05-22,489.68,refund_delay_only,True,14.4,True,False
552,Mumbai,2026-06-28,628.53,missing_or_wrong_item,True,8.8,False,False
553,Hyderabad,2026-05-11,194.09,none,False,,True,False
557,Mumbai,2026-05-14,532.08,address_triggered_cancellation,True,30.4,False,False
561,Kolkata,2026-06-23,292.41,missing_or_wrong_item,True,6.9,False,False
567,Bengaluru,2026-05-22,166.08,none,False,,True,False
573,Bengaluru,2026-05-11,331.25,false_delivered_status,True,32.3,False,False
577,Hyderabad,2026-05-15,136.51,none,False,,True,True
580,Hyderabad,2026-06-03,222.15,none,False,,True,True
585,Pune,2026-05-13,152.74,address_triggered_cancellation,True,38.1,False,False
587,Kolkata,2026-05-21,332.81,none,False,,True,True
588,Bengaluru,2026-06-03,335.36,none,False,,True,False
591,Mumbai,2026-06-09,282.46,address_triggered_cancellation,True,66.5,False,False
594,Delhi,2026-05-12,125.24,none,False,,True,True
604,Hyderabad,2026-05-16,292.12,address_triggered_cancellation,True,16.1,False,False
606,Hyderabad,2026-05-14,330.57,address_triggered_cancellation,True,91.1,False,False
617,Pune,2026-06-03,278.83,none,False,,True,False
618,Kolkata,2026-06-10,577.82,none,False,,True,True
619,Delhi,2026-05-10,574.1,none,False,,True,True
625,Hyderabad,2026-05-29,465.64,false_delivered_status,True,69.3,False,False
627,Hyderabad,2026-06-16,149.78,none,False,,True,True
630,Pune,2026-06-25,130.78,missing_or_wrong_item,True,17.9,False,False
632,Delhi,2026-06-08,185.12,none,False,,True,True
633,Pune,2026-05-02,343.96,address_triggered_cancellation,True,27.6,False,False
637,Bengaluru,2026-05-14,457.9,none,False,,True,False
639,Bengaluru,2026-06-14,535.43,none,False,,True,False
640,Bengaluru,2026-06-25,334.77,none,False,,True,False
642,Kolkata,2026-06-11,409.54,address_triggered_cancellation,True,35.2,False,False
646,Kolkata,2026-06-21,417.62,false_delivered_status,True,27.7,False,False
647,Kolkata,2026-06-13,354.98,none,False,,True,True
648,Mumbai,2026-06-20,533.97,none,False,,True,True
649,Hyderabad,2026-05-11,299.58,none,False,,True,False
650,Hyderabad,2026-05-24,510.36,none,False,,True,False
651,Mumbai,2026-06-09,182.25,none,False,,True,True
652,Mumbai,2026-05-29,387.66,none,False,,True,False
653,Mumbai,2026-05-17,243.78,missing_or_wrong_item,True,4.7,False,False
660,Bengaluru,2026-06-17,940.35,false_delivered_status,True,39.7,False,False
662,Hyderabad,2026-05-29,410.49,none,False,,True,False
663,Bengaluru,2026-06-24,691.51,none,False,,True,True
668,Pune,2026-06-28,293.11,none,False,,True,False
670,Kolkata,2026-06-11,184.32,none,False,,True,True
672,Mumbai,2026-06-13,211.85,missing_or_wrong_item,True,10.2,False,False
673,Mumbai,2026-06-01,342.78,false_delivered_status,True,29.7,False,False
677,Mumbai,2026-06-06,188.15,address_triggered_cancellation,True,18.8,False,False
683,Bengaluru,2026-06-01,257.81,none,False,,True,True
685,Pune,2026-06-20,233.93,none,False,,True,True
689,Bengaluru,2026-05-02,248.08,false_delivered_status,True,58.0,False,False
692,Delhi,2026-05-14,558.14,missing_or_wrong_item,True,24.0,False,False
696,Mumbai,2026-05-20,467.29,address_triggered_cancellation,True,51.2,False,False
699,Delhi,2026-06-07,355.42,none,False,,True,True
700,Hyderabad,2026-05-08,508.01,none,False,,True,True
705,Kolkata,2026-05-20,47.61,none,False,,True,True
707,Mumbai,2026-06-03,192.18,none,False,,True,True
709,Hyderabad,2026-06-25,322.55,false_delivered_status,True,41.4,False,False
712,Kolkata,2026-05-24,457.55,none,False,,True,True
714,Bengaluru,2026-06-13,122.62,address_triggered_cancellation,True,14.1,False,True
715,Delhi,2026-06-24,356.85,none,False,,True,False
719,Kolkata,2026-05-19,148.91,address_triggered_cancellation,True,43.9,False,False
723,Pune,2026-06-01,338.38,address_triggered_cancellation,True,19.8,False,False
729,Hyderabad,2026-06-21,496.25,none,False,,True,True
731,Kolkata,2026-05-08,427.52,none,False,,True,True
738,Hyderabad,2026-06-04,518.68,none,False,,True,False
740,Bengaluru,2026-06-09,201.17,none,False,,True,True
744,Bengaluru,2026-06-08,451.92,none,False,,True,True
745,Pune,2026-06-20,354.93,none,False,,True,False
748,Delhi,2026-05-12,433.0,none,False,,True,True
758,Mumbai,2026-05-05,113.49,address_triggered_cancellation,True,37.1,False,False
759,Pune,2026-05-28,32.24,false_delivered_status,True,147.2,False,False
760,Hyderabad,2026-06-18,357.07,none,False,,True,True
762,Mumbai,2026-05-01,326.27,missing_or_wrong_item,True,10.7,False,False
763,Pune,2026-06-28,405.3,none,False,,True,True
764,Mumbai,2026-05-21,428.55,none,False,,True,False
767,Kolkata,2026-06-04,456.08,none,False,,True,True
768,Delhi,2026-06-07,199.95,missing_or_wrong_item,True,3.4,False,False
771,Delhi,2026-06-03,270.08,none,False,,True,True
776,Bengaluru,2026-06-01,204.19,none,False,,True,True
777,Kolkata,2026-05-04,293.01,none,False,,True,False
782,Hyderabad,2026-06-03,454.52,address_triggered_cancellation,True,30.5,False,False
784,Mumbai,2026-05-15,605.41,address_triggered_cancellation,True,41.0,False,False
788,Bengaluru,2026-06-11,613.62,none,False,,True,True
790,Hyderabad,2026-05-23,49.7,false_delivered_status,True,88.8,False,False
791,Kolkata,2026-06-11,589.07,none,False,,True,False
794,Mumbai,2026-05-18,63.78,none,False,,True,True
796,Mumbai,2026-05-12,167.61,false_delivered_status,True,37.0,False,False
797,Kolkata,2026-06-09,137.62,none,False,,True,False
798,Hyderabad,2026-05-21,335.01,none,False,,True,False
800,Pune,2026-06-06,398.3,missing_or_wrong_item,True,19.5,False,False
801,Pune,2026-06-06,140.5,address_triggered_cancellation,True,41.7,False,False
802,Kolkata,2026-06-01,308.18,none,False,,True,True
804,Hyderabad,2026-05-09,351.64,missing_or_wrong_item,True,3.0,False,False
808,Kolkata,2026-05-31,151.15,none,False,,True,False
809,Mumbai,2026-06-28,456.72,none,False,,True,True
816,Delhi,2026-05-16,404.2,none,False,,True,False
821,Hyderabad,2026-05-26,253.51,none,False,,True,False
827,Pune,2026-06-05,254.61,none,False,,True,True
831,Kolkata,2026-06-16,274.84,address_triggered_cancellation,True,26.7,False,False
835,Delhi,2026-05-31,1030.97,none,False,,True,True
836,Hyderabad,2026-06-13,231.77,missing_or_wrong_item,True,17.0,False,False
842,Pune,2026-05-13,256.38,none,False,,True,False
844,Mumbai,2026-05-23,168.68,none,False,,True,False
848,Bengaluru,2026-06-21,165.83,none,False,,True,True
849,Mumbai,2026-06-07,415.44,none,False,,True,True
853,Mumbai,2026-05-28,313.82,missing_or_wrong_item,True,28.3,False,False
856,Bengaluru,2026-06-16,241.42,none,False,,True,True
858,Mumbai,2026-06-26,555.0,none,False,,True,True
860,Mumbai,2026-05-04,104.73,missing_or_wrong_item,True,28.0,False,True
862,Mumbai,2026-05-28,263.71,missing_or_wrong_item,True,6.7,False,False
866,Mumbai,2026-06-14,579.59,address_triggered_cancellation,True,37.4,False,False
868,Hyderabad,2026-06-23,317.71,missing_or_wrong_item,True,4.3,False,False
873,Hyderabad,2026-05-06,152.41,address_triggered_cancellation,True,33.7,False,False
875,Pune,2026-05-22,126.12,none,False,,True,True
878,Bengaluru,2026-05-08,684.7,missing_or_wrong_item,True,19.0,False,False
879,Pune,2026-05-03,189.25,none,False,,True,True
881,Kolkata,2026-05-08,157.44,none,False,,True,True
882,Kolkata,2026-06-10,516.21,false_delivered_status,True,47.2,False,False
883,Kolkata,2026-05-13,348.69,none,False,,True,True
884,Bengaluru,2026-06-01,811.21,address_triggered_cancellation,True,60.2,False,False
887,Mumbai,2026-05-10,614.39,address_triggered_cancellation,True,14.2,False,True
892,Delhi,2026-06-06,653.29,address_triggered_cancellation,True,19.8,False,False
895,Mumbai,2026-06-09,809.45,none,False,,True,True
897,Delhi,2026-05-21,340.07,none,False,,True,False
898,Bengaluru,2026-06-11,265.65,address_triggered_cancellation,True,24.5,False,False
899,Delhi,2026-05-31,101.77,none,False,,True,False
905,Pune,2026-06-18,361.94,missing_or_wrong_item,True,5.3,False,False
907,Bengaluru,2026-06-02,468.01,none,False,,True,False
908,Kolkata,2026-05-21,545.24,none,False,,True,True
913,Mumbai,2026-06-14,161.22,refund_delay_only,True,18.3,True,False
918,Mumbai,2026-05-20,742.69,false_delivered_status,True,27.0,False,True
919,Mumbai,2026-06-24,509.75,none,False,,True,False
921,Delhi,2026-05-04,363.45,none,False,,True,True
923,Kolkata,2026-06-09,523.5,none,False,,True,False
926,Delhi,2026-06-15,154.1,none,False,,True,False
929,Pune,2026-05-01,345.02,refund_delay_only,True,18.5,True,True
934,Kolkata,2026-06-17,220.13,none,False,,True,False
938,Hyderabad,2026-06-18,326.99,none,False,,True,True
939,Mumbai,2026-06-23,1118.67,none,False,,True,False
940,Bengaluru,2026-06-23,411.91,none,False,,True,False
942,Delhi,2026-06-12,324.31,none,False,,True,True
947,Delhi,2026-05-01,626.2,none,False,,True,True
948,Hyderabad,2026-06-11,385.87,none,False,,True,False
949,Mumbai,2026-05-24,100.36,none,False,,True,True
951,Kolkata,2026-06-27,152.0,none,False,,True,True
955,Delhi,2026-06-23,326.04,address_triggered_cancellation,True,30.2,False,False
959,Delhi,2026-05-15,342.4,none,False,,True,True
964,Hyderabad,2026-06-22,510.85,false_delivered_status,True,50.2,False,False
969,Pune,2026-05-02,96.36,missing_or_wrong_item,True,2.9,False,False
974,Mumbai,2026-06-20,468.72,none,False,,True,True
975,Delhi,2026-06-15,282.42,none,False,,True,False
978,Kolkata,2026-06-25,561.0,none,False,,True,True
980,Kolkata,2026-06-09,697.08,none,False,,True,False
981,Delhi,2026-05-18,241.94,none,False,,True,False
982,Pune,2026-05-31,382.73,missing_or_wrong_item,True,2.8,False,False
983,Pune,2026-05-15,846.18,address_triggered_cancellation,True,107.7,False,False
989,Delhi,2026-06-18,228.37,address_triggered_cancellation,True,46.7,False,False
991,Mumbai,2026-05-26,89.03,address_triggered_cancellation,True,45.2,False,False
994,Pune,2026-05-14,233.9,missing_or_wrong_item,True,15.8,False,False
996,Delhi,2026-06-17,299.83,address_triggered_cancellation,True,33.1,False,False
997,Mumbai,2026-06-05,16.66,none,False,,True,True
999,Pune,2026-06-20,650.72,none,False,,True,False
1006,Kolkata,2026-05-31,578.13,none,False,,True,False
1009,Delhi,2026-05-12,411.56,none,False,,True,True
1010,Hyderabad,2026-06-17,713.08,none,False,,True,True
1017,Mumbai,2026-06-15,303.02,none,False,,True,True
1023,Mumbai,2026-06-06,266.13,none,False,,True,False
1024,Mumbai,2026-06-22,553.59,refund_delay_only,True,22.7,True,False
1026,Mumbai,2026-05-11,238.49,missing_or_wrong_item,True,14.0,False,False
1031,Bengaluru,2026-06-13,192.17,none,False,,True,True
1033,Hyderabad,2026-06-09,148.74,missing_or_wrong_item,True,10.7,False,False
1034,Delhi,2026-05-28,799.05,none,False,,True,False
1038,Bengaluru,2026-06-26,257.69,refund_delay_only,True,27.2,True,False
1040,Hyderabad,2026-05-25,343.71,none,False,,True,False
1042,Kolkata,2026-05-04,172.55,missing_or_wrong_item,True,7.2,False,False
1045,Delhi,2026-06-07,301.56,address_triggered_cancellation,True,24.2,False,False
1048,Delhi,2026-06-16,102.38,address_triggered_cancellation,True,39.2,False,False
1051,Mumbai,2026-05-23,104.41,none,False,,True,False
1054,Delhi,2026-06-13,312.48,false_delivered_status,True,134.8,False,False
1055,Delhi,2026-05-13,509.46,none,False,,True,True
1057,Kolkata,2026-05-21,300.79,none,False,,True,False
1065,Bengaluru,2026-05-25,114.09,address_triggered_cancellation,True,30.0,False,False
1073,Hyderabad,2026-05-04,82.21,none,False,,True,True
1074,Delhi,2026-05-19,68.91,refund_delay_only,True,7.2,True,False
1075,Hyderabad,2026-05-09,158.33,none,False,,True,False
1076,Hyderabad,2026-05-20,160.04,missing_or_wrong_item,True,7.0,False,False
1077,Kolkata,2026-06-08,88.67,none,False,,True,False
1078,Delhi,2026-05-29,411.61,false_delivered_status,True,20.4,False,True
1079,Hyderabad,2026-06-07,377.7,none,False,,True,False
1081,Delhi,2026-05-28,111.46,missing_or_wrong_item,True,3.5,False,False
1082,Kolkata,2026-06-24,677.67,none,False,,True,True
1083,Pune,2026-06-13,339.27,none,False,,True,True
1090,Hyderabad,2026-05-10,281.36,none,False,,True,False
1092,Bengaluru,2026-05-04,432.18,none,False,,True,False
1093,Pune,2026-05-04,342.85,false_delivered_status,True,49.8,False,False
1098,Pune,2026-06-25,284.23,none,False,,True,True
1100,Mumbai,2026-06-21,198.24,none,False,,True,True
1101,Delhi,2026-06-01,381.37,none,False,,True,True
1102,Pune,2026-05-11,552.46,address_triggered_cancellation,True,14.4,False,False
1104,Delhi,2026-05-22,53.22,address_triggered_cancellation,True,22.5,False,False
1106,Delhi,2026-05-16,583.18,refund_delay_only,True,26.8,True,False
1109,Mumbai,2026-06-16,171.09,none,False,,True,True
1113,Delhi,2026-05-21,113.12,address_triggered_cancellation,True,25.6,False,True
1115,Bengaluru,2026-06-07,209.98,address_triggered_cancellation,True,42.4,False,False
1118,Delhi,2026-05-03,359.7,none,False,,True,False
1119,Hyderabad,2026-05-26,687.44,none,False,,True,False
1123,Delhi,2026-06-22,649.52,none,False,,True,True
1124,Hyderabad,2026-05-08,181.58,none,False,,True,True
1125,Mumbai,2026-05-10,353.54,none,False,,True,True
1130,Delhi,2026-05-27,657.58,refund_delay_only,True,20.6,True,False
1131,Mumbai,2026-06-21,441.88,missing_or_wrong_item,True,7.0,False,False
1134,Delhi,2026-05-17,147.25,address_triggered_cancellation,True,20.6,False,False
1135,Bengaluru,2026-05-24,74.5,missing_or_wrong_item,True,5.6,False,False
1137,Delhi,2026-06-20,440.66,none,False,,True,True
1138,Bengaluru,2026-05-04,400.57,none,False,,True,False
1139,Mumbai,2026-06-19,616.85,missing_or_wrong_item,True,3.3,False,False
1142,Delhi,2026-06-29,147.18,none,False,,True,False
1145,Mumbai,2026-05-16,110.89,none,False,,True,True
1146,Pune,2026-06-23,632.01,none,False,,True,False
1147,Delhi,2026-06-06,477.08,missing_or_wrong_item,True,1.9,False,False
1150,Pune,2026-05-07,66.48,none,False,,True,True
1153,Pune,2026-06-19,204.08,missing_or_wrong_item,True,9.8,False,False
1155,Kolkata,2026-05-03,512.34,address_triggered_cancellation,True,30.4,False,False
1159,Delhi,2026-05-03,269.13,none,False,,True,False
